"decade"	"timeline"
2010	"met,3,romantic,2,lived,109,married,-99"
2010	"met,2,romantic,42,lived,1,married,-99"
2010	"romantic,193,lived,47,married,-99"
2010	"romantic,15,lived,117,married,-99"
2010	"met,286,romantic,6,lived,13,married,-99"
2010	"met,3,romantic,6,lived,14,married,-99"
2010	"met,7,lived,19,married,-99"
2010	"met,26,romantic,22,married,-99"
2010	"met,12,married,-99"
2010	"met,7,romantic,16,lived,60,married,-99"
2010	"met,5,romantic,12,married,-99"
2010	"met,1,romantic,24,lived,8,married,-99"
2010	"met,1,romantic,4,lived,32,married,-99"
2010	"met,3,romantic,7,lived,11,married,-99"
2010	"romantic,6,lived,14,married,-99"
2010	"met,123,romantic,1,lived,25,married,-99"
2010	"met,31,romantic,57,married,-99"
2010	"met,11,romantic,7,lived,3,married,-99"
2010	"met,7,romantic,24,lived,34,married,-99"
2010	"romantic,18,lived,6,married,-99"
2010	"met,7,lived,19,married,-99"
2010	"met,1,romantic,125,married,-99"
2010	"met,84,married,-99"
2010	"romantic,82,lived,149,married,-99"
2010	"romantic,2,lived,23,married,-99"
2010	"romantic,38,lived,4,married,-99"
2010	"lived,22,married,-99"
2010	"met,93,romantic,6,married,-99"
2010	"lived,19,married,-99"
2010	"met,3,romantic,1,lived,90,married,-99"
2010	"met,57,romantic,193,lived,9,married,-99"
2010	"met,1,romantic,88,lived,189,married,-99"
2010	"met,108,romantic,7,married,-99"
2010	"met,11,romantic,7,lived,3,married,-99"
2010	"met,1,romantic,3,lived,46,married,-99"
2010	"met,2,romantic,1,lived,28,married,-99"
2010	"met,82,romantic,4,lived,68,married,-99"
2010	"met,128,romantic,88,married,-99"
2010	"romantic,11,lived,49,married,-99"
2010	"met,91,lived,5,married,-99"
2010	"romantic,4,lived,273,married,-99"
2010	"met,93,romantic,50,married,-99"
2010	"romantic,42,lived,7,married,-99"
2010	"romantic,12,lived,5,married,-99"
2010	"met,227,romantic,26,lived,29,married,-99"
2010	"met,2,romantic,42,lived,1,married,-99"
2010	"met,4,romantic,15,married,-99"
2010	"met,12,lived,33,married,-99"
2010	"met,5,romantic,7,lived,45,married,-99"
2010	"romantic,2,lived,310,married,-99"
2010	"met,12,lived,33,married,-99"
2010	"romantic,3,lived,61,married,-99"
2010	"met,3,romantic,9,lived,33,married,-99"
2010	"met,1,romantic,21,married,-99"
2010	"met,3,romantic,7,married,-99"
2010	"met,8,romantic,50,lived,1,married,-99"
2010	"met,2,romantic,24,married,-99"
2010	"met,9,romantic,3,lived,29,married,-99"
2010	"met,5,romantic,37,married,-99"
2010	"met,4,romantic,48,married,-99"
2010	"romantic,29,married,-99"
2010	"met,6,romantic,30,married,-99"
2010	"met,16,lived,246,married,-99"
2010	"met,16,romantic,5,lived,29,married,-99"
2010	"met,11,romantic,70,lived,1,married,-99"
2010	"met,3,romantic,7,married,-99"
2010	"met,1,romantic,14,married,-99"
2010	"met,108,romantic,7,married,-99"
2010	"romantic,4,lived,23,married,-99"
2010	"met,31,romantic,14,married,-99"
2010	"met,26,romantic,27,lived,32,married,-99"
2010	"romantic,4,lived,8,married,-99"
2010	"romantic,10,lived,38,married,-99"
2010	"romantic,12,married,-99"
2010	"romantic,28,lived,5,married,-99"
2010	"met,17,romantic,106,lived,54,married,-99"
2010	"met,24,romantic,80,lived,7,married,-99"
2010	"met,6,romantic,14,lived,27,married,-99"
2010	"met,1,romantic,3,lived,77,married,-99"
2010	"met,26,romantic,3,lived,25,married,-99"
2010	"romantic,8,lived,51,married,-99"
2010	"met,2,romantic,42,lived,1,married,-99"
2010	"met,3,romantic,53,lived,189,married,-99"
2010	"met,9,romantic,3,lived,29,married,-99"
2010	"met,3,romantic,2,lived,15,married,-99"
2010	"met,1,romantic,58,lived,35,married,-99"
2010	"met,3,lived,63,married,-99"
2010	"met,3,romantic,6,married,-99"
2010	"met,12,lived,33,married,-99"
2010	"romantic,1,lived,30,married,-99"
2010	"met,26,romantic,13,lived,208,married,-99"
2010	"met,2,romantic,24,married,-99"
2010	"romantic,1,lived,43,married,-99"
2010	"met,155,romantic,1,married,-99"
2010	"met,2,romantic,31,married,-99"
2010	"met,2,lived,36,married,-99"
2010	"met,10,romantic,43,lived,114,married,-99"
2010	"met,34,lived,39,married,-99"
2010	"met,11,romantic,2,lived,24,married,-99"
2010	"met,49,romantic,16,married,-99"
2010	"met,41,romantic,11,lived,23,married,-99"
2010	"met,3,romantic,9,lived,71,married,-99"
2010	"met,1,romantic,1,lived,57,married,-99"
2010	"met,2,romantic,4,lived,344,married,-99"
2010	"romantic,15,lived,117,married,-99"
